Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Motygino,97,RU,1571813334,54,58.18,94.69,272.75,3.26
Portland,90,US,1571813334,93,43.66,-70.25,285.37,3.6
Salisbury,40,GB,1571813123,100,51.07,-1.8,280.37,1.0
Punta Arenas,75,CL,1571813334,70,-53.16,-70.91,279.15,6.2
Beringovskiy,100,RU,1571813335,90,63.05,179.32,272.91,11.58
Port Elizabeth,90,US,1571813335,87,39.31,-74.98,290.15,4.1
San Policarpo,2,PH,1571813335,62,12.18,125.51,302.84,2.93
Rikitea,100,PF,1571813336,85,-23.12,-134.97,294.21,7.64
Arraial do Cabo,30,BR,1571813336,78,-22.97,-42.02,294.87,2.55
Bon Air,90,US,1571813336,93,37.52,-77.56,288.71,2.6
Dikson,100,RU,1571813337,93,73.51,80.55,267.52,8.65
Puerto Ayora,82,EC,1571813337,85,-0.74,-90.35,294.26,2.24
Hobart,20,AU,1571813327,67,-42.88,147.33,294.82,8.7
Quang Ngai,27,VN,1571813338,77,15.12,108.8,300.57,4.29
Ecoporanga,100,BR,1571813338,97,-18.37,-40.83,293.92,1.59
Georgetown,20,GY,1571813078,100,6.8,-58.16,297.15,1.0
Saskylakh,17,RU,1571813338,86,71.97,114.09,259.87,4.56
San Patricio,77,PY,1571813339,90,-26.98,-56.83,285.78,2.16
New Norfolk,20,AU,1571813339,67,-42.78,147.06,294.82,8.7
Ushuaia,21,AR,1571813339,97,-54.81,-68.31,274.12,2.09
Colac,0,AU,1571813340,41,-38.34,143.59,301.48,2.27
Cabo San Lucas,3,MX,1571813340,80,22.89,-109.91,297.04,0.89
Albany,90,US,1571813340,93,42.65,-73.75,286.48,3.84
Severo-Kurilsk,0,RU,1571813340,59,50.68,156.12,279.26,1.98
Marsa Matruh,0,EG,1571813341,70,31.35,27.25,296.71,4.87
Hasaki,75,JP,1571813341,60,35.73,140.83,295.93,5.1
Torbay,90,CA,1571813342,93,47.66,-52.73,279.82,6.2
Thompson,75,CA,1571813342,85,55.74,-97.86,269.15,6.7
Koumac,99,NC,1571813342,75,-20.56,164.28,294.83,1.57
Kodiak,1,US,1571813343,65,39.95,-94.76,282.04,4.6
Saint George,20,GR,1571813343,63,39.45,22.34,290.15,2.1
Victoria,90,BN,1571813318,83,5.28,115.24,303.15,1.0
Bluff,0,AU,1571813343,32,-23.58,149.07,301.0,9.13
Penzance,20,GB,1571813344,100,50.12,-5.53,284.15,3.6
Zambezi,94,ZM,1571813344,58,-13.55,23.12,297.58,4.56
Cabedelo,20,BR,1571813345,94,-6.97,-34.84,295.15,1.5
Ribeira Grande,40,PT,1571813345,93,38.52,-28.7,291.15,3.98
Fairbanks,40,US,1571813345,85,64.84,-147.72,270.93,2.6
Ponta do Sol,63,BR,1571813346,92,-20.63,-46.0,291.07,1.73
Hermanus,30,ZA,1571813346,60,-34.42,19.24,292.04,4.92
Saint-Philippe,90,CA,1571813346,100,45.36,-73.48,285.15,5.1
Grand Gaube,40,MU,1571813346,78,-20.01,57.66,299.15,5.1
Paamiut,89,GL,1571813347,56,61.99,-49.67,275.34,2.75
Kavieng,54,PG,1571813347,71,-2.57,150.8,302.71,5.27
Yellowknife,90,CA,1571813348,94,62.45,-114.38,273.15,2.1
Ketchikan,90,US,1571813348,100,55.34,-131.65,280.15,1.15
Jumla,0,NP,1571813348,18,29.28,82.18,290.48,2.67
Longyearbyen,75,NO,1571813348,72,78.22,15.63,264.15,1.0
Hilo,90,US,1571813349,78,19.71,-155.08,299.15,2.1
Shemonaikha,100,KZ,1571813349,60,50.63,81.92,271.47,4.75
Busselton,45,AU,1571813349,42,-33.64,115.35,294.82,8.2
Axim,95,GH,1571813350,92,4.87,-2.24,296.76,0.92
Half Moon Bay,90,US,1571813350,87,37.46,-122.43,294.26,1.34
Wanganui,47,NZ,1571813350,53,-39.93,175.05,283.15,3.13
Pitimbu,20,BR,1571813351,94,-7.47,-34.81,295.15,1.5
Khatanga,100,RU,1571813351,73,71.98,102.47,264.09,8.86
Lagoa,20,PT,1571813351,87,37.14,-8.45,286.48,2.1
Chuy,23,UY,1571813352,82,-33.69,-53.46,284.17,1.9
Tuktoyaktuk,96,CA,1571813352,81,69.44,-133.03,268.22,3.51
Airai,20,TL,1571813352,27,-8.93,125.41,302.16,4.41
Ancud,0,CL,1571813353,86,-41.87,-73.83,278.15,3.6
Srednekolymsk,80,RU,1571813353,86,67.46,153.71,258.0,1.08
Asosa,42,ET,1571813354,86,10.07,34.53,295.43,0.54
Tura,100,RU,1571813354,88,64.27,100.22,263.82,2.09
Chibuto,93,MZ,1571813354,78,-24.69,33.53,297.1,3.72
Miguel Auza,82,MX,1571813354,68,24.29,-103.45,290.09,3.84
Nantucket,90,US,1571813355,87,41.28,-70.1,289.15,3.1
Manicore,4,BR,1571813355,96,-5.81,-61.3,295.93,0.35
Tasiilaq,23,GL,1571813356,63,65.61,-37.64,270.15,2.6
Port Blair,36,IN,1571813356,75,11.67,92.75,302.05,4.31
Grindavik,40,IS,1571813356,68,63.84,-22.43,271.15,12.3
Berlevag,100,NO,1571813356,59,70.86,29.09,275.15,3.1
Kuytun,100,RU,1571813357,42,54.34,101.51,273.02,3.55
Mataura,90,NZ,1571813357,66,-46.19,168.86,283.15,3.13
Norden,40,DE,1571813357,100,53.59,7.21,281.48,1.0
Horsham,0,AU,1571813358,24,-36.71,142.2,302.16,1.27
Tilichiki,0,RU,1571813358,72,60.47,166.1,261.13,4.29
Port Moresby,40,PG,1571813358,78,-9.47,147.16,301.15,5.1
Koson,15,UZ,1571813358,21,39.04,65.59,294.15,1.0
Hammerfest,75,NO,1571813359,64,70.66,23.68,275.15,10.8
Saldanha,100,PT,1571813359,92,41.42,-6.55,281.11,4.0
Sitka,16,US,1571813359,40,37.17,-99.65,284.26,4.47
Souillac,100,FR,1571813359,100,45.6,-0.6,287.04,3.6
Bambous Virieux,40,MU,1571813360,78,-20.34,57.76,299.15,5.1
Vaini,75,IN,1571813360,94,15.34,74.49,302.15,4.1
Pervomayskoye,100,RU,1571813360,70,57.07,86.23,272.51,7.64
Newcastle,33,AU,1571813164,57,-32.93,151.78,298.15,7.2
Ilulissat,27,GL,1571813361,57,69.22,-51.1,266.15,2.6
Avarua,41,CK,1571813361,76,-21.21,-159.78,298.16,1.9
Barrow,95,AR,1571813361,93,-38.31,-60.23,282.29,4.68
Mareeba,40,AU,1571813362,57,-16.99,145.42,300.37,5.1
Bontang,1,ID,1571813362,68,0.12,117.47,302.51,4.32
Kokoda,98,PG,1571813362,91,-8.88,147.74,291.71,1.39
Cherskiy,92,RU,1571813363,81,68.75,161.3,257.81,3.99
Maebaru,75,JP,1571813363,64,33.55,130.2,297.59,2.6
Butaritari,21,KI,1571813363,68,3.07,172.79,302.62,4.61
Nikolskoye,75,RU,1571813364,71,59.7,30.79,284.15,8.0
Laguna,75,BZ,1571813364,100,16.17,-88.94,297.15,0.69
Jamestown,0,AU,1571813364,11,-33.21,138.6,304.17,2.98
Yeppoon,58,AU,1571813364,38,-23.13,150.74,298.15,5.7
Tuatapere,88,NZ,1571813365,66,-46.13,167.69,283.15,3.13
Mercedes,19,UY,1571813365,93,-33.25,-58.03,283.71,1.79
Meulaboh,58,ID,1571813365,76,4.14,96.13,301.1,4.56
Westport,90,US,1571813366,93,41.14,-73.36,292.04,3.1
Conakry,100,GN,1571813367,82,9.52,-13.7,299.64,4.28
Bredasdorp,0,ZA,1571813367,48,-34.53,20.04,292.04,5.7
Jiuquan,100,CN,1571813367,58,39.73,98.49,274.99,5.21
Changping,38,CN,1571813368,40,40.22,116.23,295.93,2.0
Bathsheba,40,BB,1571813368,78,13.22,-59.52,300.15,5.7
Inhambane,75,MZ,1571813368,83,-23.87,35.38,299.15,6.2
Ambon,90,FR,1571813369,100,47.55,-2.56,285.37,4.6
East London,67,ZA,1571813369,49,-33.02,27.91,294.15,8.7
Atuona,0,PF,1571813369,73,-9.8,-139.03,299.42,6.11
Henties Bay,0,NA,1571813370,85,-22.12,14.28,288.15,1.34
Vardo,90,US,1571813370,93,39.62,-77.74,285.15,2.6
Kapaa,20,US,1571813370,74,22.08,-159.32,300.15,6.2
Cape Town,75,ZA,1571813130,67,-33.93,18.42,290.93,3.1
Port Alfred,80,ZA,1571813371,58,-33.59,26.89,292.59,4.02
Mehamn,100,NO,1571813371,59,71.03,27.85,275.15,3.1
Tornio,20,FI,1571813371,93,61.12,27.27,279.15,3.6
Dzerzhinsk,90,RU,1571813372,93,56.24,43.46,283.15,4.0
Geraldton,90,CA,1571813372,100,49.72,-86.95,278.15,3.1
Upata,13,VE,1571813372,88,8.02,-62.41,297.59,0.45
Farmington,1,US,1571813372,36,36.73,-108.21,281.15,2.6
Talara,54,PE,1571813373,88,-4.58,-81.27,291.14,8.17
Narsaq,98,GL,1571813373,86,60.91,-46.05,274.15,1.0
Mogadishu,89,SO,1571813373,78,2.04,45.34,300.97,4.92
San Quintin,17,PH,1571813374,70,17.54,120.52,302.46,3.1
Kupang,20,ID,1571813374,62,-10.16,123.6,303.15,4.6
Provideniya,75,RU,1571813374,69,64.42,-173.23,274.15,5.0
Lebu,31,ET,1571813375,63,8.96,38.73,287.89,1.46
Lavrentiya,28,RU,1571813375,85,65.58,-170.99,273.24,7.83
Kibala,95,TD,1571813375,88,9.11,18.35,297.15,1.43
Alofi,80,NU,1571813375,88,-19.06,-169.92,297.15,3.6
Pregradnaya,68,RU,1571813376,45,43.95,41.19,286.33,0.86
Dickinson,90,US,1571813314,80,46.88,-102.79,275.93,5.1
Shu,0,KZ,1571813376,29,43.6,73.76,287.08,1.77
Chokurdakh,100,RU,1571813376,95,70.62,147.9,261.91,3.11
Constitucion,99,MX,1571813377,65,23.99,-104.67,288.73,1.66
Carnarvon,0,ZA,1571813377,22,-30.97,22.13,284.88,8.69
Shar,97,NG,1571813377,95,7.3,8.73,296.23,1.44
Megion,90,RU,1571813378,95,61.04,76.11,274.15,4.0
Pevek,100,RU,1571813378,91,69.7,170.27,264.34,4.11
Fengcheng,4,CN,1571813378,47,40.45,124.07,293.43,1.83
Dicabisagan,40,PH,1571813379,71,17.08,122.42,300.94,2.35
Comodoro Rivadavia,0,AR,1571813379,57,-45.87,-67.48,280.15,1.5
Oranjestad,40,AW,1571813198,83,12.52,-70.03,300.15,2.6
San Cristobal,95,HN,1571813379,95,14.68,-86.92,291.65,1.04
Richards Bay,83,ZA,1571813380,76,-28.77,32.06,295.2,14.8
Birao,100,CF,1571813380,91,10.3,22.78,294.56,4.71
Walvis Bay,90,NA,1571813380,82,-22.95,14.51,288.15,2.1
Leningradskiy,77,RU,1571813381,72,69.38,178.42,265.94,3.48
Qiyang,100,CN,1571813381,86,26.59,111.85,290.71,0.33
Iqaluit,90,CA,1571813381,84,63.75,-68.52,273.15,4.1
Esperance,17,AU,1571813382,49,-33.86,121.89,295.15,7.2
Gizo,75,IL,1571813382,47,31.8,34.94,299.15,2.6
Hadejia,45,NG,1571813382,45,12.45,10.04,299.69,2.25
Ygatimi,0,PY,1571813382,84,-24.08,-55.5,286.54,0.96
Saint-Augustin,90,CA,1571813383,93,45.63,-73.98,285.15,4.1
Ust-Omchug,46,RU,1571813383,94,61.13,149.63,257.97,1.3
Yarega,100,RU,1571813383,96,63.43,53.58,273.64,6.0
Sawakin,53,SD,1571813384,73,19.1,37.33,303.23,4.49
Evensk,0,RU,1571813384,48,61.92,159.24,263.88,4.06
Manggar,84,ID,1571813384,76,-2.88,108.27,301.08,6.66
Vila Franca do Campo,20,PT,1571813384,77,37.72,-25.43,292.15,3.6
Tacuarembo,17,UY,1571813385,90,-31.73,-55.98,283.32,1.19
Wuan,57,CN,1571813385,53,31.68,112.0,294.13,1.65
Rio Grande,30,BR,1571813386,93,-32.03,-52.1,286.15,4.5
Baykit,76,RU,1571813386,67,61.68,96.39,268.62,2.47
Broome,20,GB,1571813386,93,52.47,1.45,280.15,1.0
Beidao,48,CN,1571813386,53,34.57,105.89,290.53,3.94
Phan Thiet,51,VN,1571813387,64,10.93,108.1,303.37,3.35
Karratha,0,AU,1571813387,54,-20.74,116.85,302.84,6.18
Pingxiang,99,CN,1571813387,55,27.63,113.85,294.45,1.6
Minab,0,IR,1571813388,18,27.15,57.07,309.15,2.1
Upernavik,96,GL,1571813388,50,72.79,-56.15,267.28,3.35
Khambhaliya,20,IN,1571813388,49,22.21,69.65,305.15,7.2
Visby,75,SE,1571813389,87,57.64,18.3,283.71,6.7
Bourbonnais,1,US,1571813389,63,41.16,-87.88,280.37,4.6
Sao Miguel do Araguaia,61,BR,1571813389,70,-13.28,-50.16,298.2,0.96
Belyy Yar,98,RU,1571813389,61,53.6,91.39,273.15,3.0
Anadyr,75,RU,1571813390,92,64.73,177.51,268.15,3.0
Maria Aurora,84,PH,1571813390,75,15.8,121.47,298.88,1.82
Maragogi,48,BR,1571813390,77,-9.01,-35.22,298.72,6.14
Kloulklubed,75,PW,1571813391,70,7.04,134.26,303.15,3.1
Arlit,9,NE,1571813391,20,18.74,7.39,301.97,4.94
Isangel,75,VU,1571813391,74,-19.55,169.27,299.15,5.1
Vanavara,97,RU,1571813392,68,60.35,102.28,268.95,2.05
Jagdalpur,100,IN,1571813392,93,19.09,82.02,294.82,0.86
Saint-Georges,82,CA,1571813392,89,46.12,-70.67,280.93,1.79
Bilma,0,NE,1571813393,29,18.69,12.92,297.32,6.87
Castro,0,CL,1571813393,86,-42.48,-73.76,278.15,3.6
Te Anau,67,NZ,1571813393,75,-45.41,167.72,278.62,5.45
Buckeye,1,US,1571813394,22,33.37,-112.58,295.15,4.1
Touros,20,BR,1571813394,94,-5.2,-35.46,295.15,2.1
Brive-la-Gaillarde,100,FR,1571813394,92,45.16,1.53,287.59,0.45
Zhoucheng,26,CN,1571813394,41,31.35,119.33,297.15,2.0
Lorengau,100,PG,1571813395,69,-2.02,147.27,302.74,3.8
Ewa Beach,40,US,1571813395,65,21.32,-158.01,300.37,7.7
Evanston,1,US,1571813396,59,42.04,-87.69,280.37,2.1
Dangara,0,IN,1571813396,17,29.68,75.89,305.18,1.83
Hithadhoo,100,MV,1571813396,76,-0.6,73.08,300.92,5.7
Lokosovo,98,RU,1571813397,90,61.13,74.84,273.54,4.81
San Vicente,75,EC,1571813397,83,-0.59,-80.41,295.15,2.6
Kaitangata,96,NZ,1571813397,61,-46.28,169.85,283.15,0.89
La Asuncion,6,AR,1571813398,68,-26.05,-65.39,284.76,1.43
Fortuna,90,US,1571813398,100,40.6,-124.16,287.04,2.1
Ferme-Neuve,100,CA,1571813398,95,46.7,-75.45,283.19,2.91
Jaffna,100,LK,1571813399,77,9.67,80.01,301.64,5.67
Saint-Pierre,90,FR,1571813399,100,48.95,4.24,284.26,3.1
Sao Filipe,73,CV,1571813399,76,14.9,-24.5,296.27,10.34
Kahului,40,US,1571813399,61,20.89,-156.47,300.15,6.7
Qaqortoq,100,GL,1571813400,86,60.72,-46.03,274.15,1.0
Caxito,100,BR,1571813400,98,-22.65,-42.51,290.1,0.53
Zhigansk,98,RU,1571813401,87,66.77,123.37,260.89,1.41
Balabac,91,PH,1571813401,65,7.99,117.06,303.83,3.03
Port Augusta,0,AU,1571813401,11,-32.49,137.76,306.48,5.7
Manoel Urbano,82,BR,1571813402,93,-8.84,-69.26,294.67,0.51
Margate,20,AU,1571813402,67,-43.03,147.26,294.82,8.7
Cayenne,20,GF,1571813402,94,4.94,-52.33,296.15,1.0
Tiebissou,90,CI,1571813403,100,7.16,-5.23,296.15,0.68
Mar del Plata,0,AR,1571813403,56,-46.43,-67.52,281.7,1.64
Wajima,75,JP,1571813403,68,37.4,136.9,292.15,2.6
Cidreira,16,BR,1571813404,75,-30.17,-50.22,290.39,2.06
Lagunas,0,PE,1571813404,74,-5.23,-75.68,297.39,0.92
Ikare,100,NG,1571813404,98,7.49,5.23,294.85,0.78
Tessalit,99,ML,1571813405,17,20.2,1.01,302.76,3.81
Qaanaaq,100,GL,1571813405,52,77.48,-69.36,263.2,5.7
Cockburn Town,17,TC,1571813405,80,21.46,-71.14,301.1,6.97
Caracoli,93,CO,1571813406,98,8.13,-76.58,294.0,1.02
Mastic Beach,90,US,1571813406,93,40.77,-72.85,292.04,7.2
Garhi Yasin,0,PK,1571813406,43,27.91,68.51,305.15,1.94
Porto Walter,48,BR,1571813407,97,-8.27,-72.74,294.43,0.86
Simbahan,4,PH,1571813407,65,6.3,120.58,302.57,1.97
Lakes Entrance,0,AU,1571813407,18,-37.88,147.99,300.37,4.47
Sabang,31,PH,1571813408,74,13.8,121.11,303.71,1.34
Avera,1,US,1571813408,87,33.19,-82.53,286.48,1.5
Taoudenni,32,ML,1571813408,14,22.68,-3.98,301.13,3.93
Barra do Garcas,67,BR,1571813408,79,-15.89,-52.26,295.57,0.34
Cestas,90,FR,1571813409,100,44.74,-0.68,287.04,3.6
Lubango,22,AO,1571813409,24,-14.92,13.49,292.85,3.49
Marawi,76,PH,1571813409,81,8.0,124.29,302.59,2.68
Luderitz,0,NA,1571813410,71,-26.65,15.16,287.15,2.6
Taksimo,100,RU,1571813410,64,56.36,114.84,267.51,0.97
Atar,0,MR,1571813410,29,20.52,-13.05,295.56,3.83
Kiama,0,AU,1571813411,60,-34.67,150.86,296.15,5.1
Iquitos,75,PE,1571813411,83,-3.75,-73.25,296.15,4.6
Miri,68,NG,1571813411,77,10.31,9.75,297.02,1.2
Verkhnetulomskiy,75,RU,1571813412,96,68.61,31.8,273.15,1.0
Petatlan,100,MX,1571813412,81,17.52,-101.27,299.98,3.57
Toyooka,75,JP,1571813412,77,35.55,134.82,293.15,3.1
Valencia,20,ES,1571813238,81,39.47,-0.38,287.04,3.6
Warrington,0,GB,1571813413,93,53.39,-2.59,281.15,4.6
Kropotkin,66,RU,1571813413,62,45.43,40.58,284.82,3.24
Russellville,1,US,1571813413,87,35.28,-93.13,280.37,0.79
Zhezkazgan,100,KZ,1571813414,47,47.8,67.71,276.15,3.0
Saint Anthony,1,US,1571813414,67,43.97,-111.68,279.15,4.1
Malatya,90,TR,1571813414,100,38.35,38.32,284.15,1.0
Necochea,95,AR,1571813414,91,-38.55,-58.74,283.15,5.36
Tome,75,JP,1571813415,64,38.69,141.2,294.15,2.6
Tuburan,40,PH,1571813415,66,10.73,123.82,305.15,4.1
Fort Nelson,5,CA,1571813415,100,58.81,-122.69,270.15,2.6
Onega,100,RU,1571813416,84,63.91,38.09,278.6,12.61
Nanortalik,100,GL,1571813416,94,60.14,-45.24,275.0,3.85
Norman Wells,40,CA,1571813416,92,65.28,-126.83,265.15,1.5
Mananjary,59,MG,1571813417,39,-19.16,46.8,296.88,5.79
Agadir,0,MA,1571813417,76,30.42,-9.58,284.15,2.6
Mitsamiouli,75,KM,1571813417,66,-11.38,43.28,303.15,2.6
Ravar,0,IR,1571813417,21,31.27,56.81,294.52,2.03
Terrace Bay,99,CA,1571813418,94,48.78,-87.1,279.23,2.58
Daru,88,PG,1571813418,81,-9.07,143.21,299.41,5.97
Mahebourg,40,MU,1571813418,78,-20.41,57.7,299.15,5.1
La Ronge,90,CA,1571813419,74,55.1,-105.3,274.15,4.6
Troy,90,US,1571813419,87,42.73,-73.69,286.48,2.1
Yangcun,52,CN,1571813419,53,29.98,118.17,297.59,0.52
